loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax
501,HD 20782,b,591.90002,1.37
502,HD 207832,b,161.97,0.57
503,HD 207832,c,1155.7,2.112
504,HD 20794,b,18.315,0.1207
505,HD 20794,c,40.114,0.2036
506,HD 20794,d,90.309,0.3499
507,HD 20794,e,147.02,0.509
508,HD 208487,b,130.08,0.524
509,HD 208527,b,875.5,2.1
510,HD 20868,b,380.85001,0.95
511,HD 208897,b,352.7,1.05
513,HD 210277,b,442.19,1.13
514,HD 210702,b,354.8,1.2
515,HD 212301,b,2.24571,0.03
516,HD 212771,b,373.29999,1.16
517,HD 213240,b,882.70001,1.89
518,HD 214823,b,1877,3.18
519,HD 215152,b,5.75999,0.057638
520,HD 215152,c,7.28243,0.067393
521,HD 215152,d,10.86499,0.08799
522,HD 215152,e,25.1967,0.15417
523,HD 215497,b,3.93404,0.05
524,HD 215497,c,567.94,1.282
525,HD 216435,b,1311,2.56
526,HD 216437,b,1256,2.32
527,HD 216536,b,148.60001,0.61
528,HD 216770,b,118.45,0.46
529,HD 217107,b,7.12682,0.08
530,HD 217107,c,4270,5.32
531,HD 217786,b,1319,2.38
532,HD 218566,b,225.7,0.69
533,HD 219077,b,5501,6.22
534,HD 219134,b,3.092926,0.03876
535,HD 219134,c,6.76458,0.0653
536,HD 219134,d,46.859,0.237
537,HD 219134,f,22.717,0.1463
538,HD 219134,g,94.2,0.3753
539,HD 219134,h,2247,3.11
540,HD 219415,b,2093.3,3.2
541,HD 219828,b,3.8335,0.05
542,HD 219828,c,4791,5.96
543,HD 220074,b,672.09998,1.6
544,HD 220689,b,2209,3.36
545,HD 220773,b,3724.7,4.94
546,HD 220842,b,218.47,0.74
547,HD 221287,b,456.1,1.25
548,HD 221585,b,1173,2.306
549,HD 222076,b,871,1.83
550,HD 222155,b,3999,5.14
551,HD 222582,b,572.38,1.34
552,HD 224538,b,1189.1,2.28
553,HD 224693,b,26.73,0.192
554,HD 22781,b,528.07,1.167
555,HD 23079,b,730.59998,1.6
556,HD 23127,b,1214,2.32
557,HD 231701,b,141.60001,0.56
558,HD 233604,b,192,0.747
559,HD 23596,b,1561,2.77
560,HD 238914,b,4100,5.7
561,HD 240210,b,501.75,1.16
562,HD 240237,b,745.70001,1.92
563,HD 24040,b,3668,4.92
564,HD 24064,b,535.59998,1.29
565,HD 25171,b,1845,3.02
566,HD 2638,b,3.4442,0.04
567,HD 27442,b,428.1,1.271
568,HD 27631,b,2208,3.25
569,HD 27894,b,18.02,0.125
570,HD 27894,c,36.07,0.198
571,HD 27894,d,5174,5.448
572,HD 28185,b,379,1.02
573,HD 28254,b,1116,2.15
574,HD 285507,b,6.0881,0.06
575,HD 285968,b,8.7836,0.066
576,HD 28678,b,387.10001,1.32
577,HD 29021,b,1362.3,2.28
578,HD 290327,b,2443,3.43
579,HD 2952,b,311.60001,1.23
580,HD 30177,b,2770,3.81
581,HD 30177,c,11613,9.89
582,HD 30562,b,1157,2.34
583,HD 30669,b,1684,2.69
584,HD 30856,b,912,2.04
585,HD 31253,b,466,1.26
586,HD 3167,b,0.959641,0.01815
587,HD 3167,c,29.8454,0.1795
588,HD 3167,d,8.509,0.07757
589,HD 32518,b,157.54,0.59
590,HD 32963,b,2372,3.41
591,HD 330075,b,3.38773,0.04
592,HD 33142,b,326.60001,1.09
593,HD 33283,b,18.179,0.15
594,HD 33564,b,388,1.1
595,HD 33844,b,551.40002,1.6
596,HD 33844,c,916,2.24
597,HD 34445,b,1049,2.07
598,HD 34445,c,214.67,0.7181
599,HD 34445,d,117.87,0.4817
600,HD 34445,e,49.175,0.2687
601,HD 34445,f,676.8,1.543
602,HD 34445,g,5700,6.36
603,HD 35759,b,82.467,0.389
604,HD 3651,b,62.218,0.295
605,HD 37124,b,154.378,0.53364
606,HD 37124,c,885.5,1.71
607,HD 37124,d,1862,2.807
608,HD 37605,b,55.01307,0.28
609,HD 37605,c,2720,3.814
610,HD 38283,b,363.20001,1.02
611,HD 38529,b,14.3098,0.131
612,HD 38529,c,2140.2,3.712
613,HD 38801,b,696.29999,1.65
614,HD 39091,b,2151,3.38
615,HD 40307,b,4.3123,0.0468
616,HD 40307,c,9.6184,0.0799
617,HD 40307,d,20.432,0.1321
618,HD 40307,f,51.76,0.247
619,HD 40307,g,197.8,0.6
620,HD 40956,b,578.6,1.4
621,HD 40979,b,264.14999,0.85
624,HD 4113,b,526.62,1.28
625,HD 42012,b,857.5,1.67
626,HD 4203,b,431.88,1.17
627,HD 4203,c,6700,6.95
628,HD 4208,b,828,1.65
629,HD 42618,b,149.61,0.554
630,HD 4308,b,15.56,0.12
631,HD 4313,b,356,1.13
632,HD 43197,b,327.8,0.92
633,HD 43691,b,36.96,0.24
634,HD 44219,b,472.3,1.19
635,HD 45350,b,963.6,1.92
636,HD 45364,b,226.93,0.6813
637,HD 45364,c,342.85,0.8972
638,HD 45652,b,43.6,0.23
639,HD 46375,b,3.023573,0.0398
640,HD 47186,b,4.0845,0.05
641,HD 47186,c,1353.6,2.395
642,HD 4732,b,360.2,1.19
643,HD 4732,c,2732,4.6
644,HD 47366,b,363.3,1.214
645,HD 47366,c,684.7,1.853
646,HD 47536,b,712.13,1.93
647,HD 48265,b,780.3,1.81
648,HD 49674,b,4.94737,0.06
649,HD 50499,b,2482.7,3.86
650,HD 50554,b,1293,2.353
651,HD 52265,b,119.29,0.5
652,HD 5319,b,641,1.67
653,HD 5319,c,886,2.071
654,HD 5583,b,139.35,0.53
655,HD 5608,b,792.59998,1.99
656,HD 564,b,492.3,1.2
657,HD 5891,b,177.11,0.64
658,HD 59686 A,b,299.36,1.086
659,HD 60532,b,201.9,0.77
660,HD 60532,c,600.1,1.6
661,HD 62509,b,589.64,1.64
662,HD 63454,b,2.81805,0.04
663,HD 63765,b,358,0.94
664,HD 6434,b,21.998,0.14
665,HD 65216,b,613.09998,1.37
666,HD 65216,c,152.6,0.54
667,HD 66141,b,480.5,1.2
668,HD 66428,b,1973,3.14
669,HD 67087,b,352.2,1.08
670,HD 67087,c,2374,3.86
671,HD 6718,b,2496,3.55
672,HD 68402,b,1103,2.18
673,HD 68988,b,6.27711,0.07
674,HD 69830,b,8.667,0.0785
675,HD 69830,c,31.56,0.186
676,HD 69830,d,197,0.63
677,HD 70573,b,851.8,1.76
678,HD 70642,b,2068,3.18
679,HD 7199,b,615,1.36
680,HD 72659,b,3658,4.75
681,HD 72892,b,39.475,0.228
682,HD 73256,b,2.54858,0.04
683,HD 73267,b,1260,2.198
684,HD 73526,b,188.3,0.65
685,HD 73526,c,379.1,1.03
686,HD 73534,b,1770,3.02
687,HD 74156,b,51.645,0.292
688,HD 74156,c,2473,3.85
689,HD 7449,b,1275,2.34
690,HD 75289,b,3.50927,0.05
691,HD 75784,b,5040,6.46
692,HD 75898,b,418.20001,1.19
693,HD 76700,b,3.97097,0.05
694,HD 76920,b,415.4,1.149
695,HD 77338,b,5.7361,0.06
696,HD 7924,b,5.39792,0.06
697,HD 7924,c,15.299,0.1134
698,HD 7924,d,24.451,0.1551
699,HD 79498,b,1966.1,3.13
701,HD 81040,b,1001.70001,1.94
702,HD 81688,b,184.02,0.81
703,HD 82886,b,705,1.58
704,HD 82943,b,441.47,1.18306
705,HD 82943,c,220.078,0.74345
706,HD 83443,b,2.9857,0.04
707,HD 8535,b,1313,2.45
708,HD 85390,b,788,1.52
709,HD 85512,b,58.43,0.26
710,HD 8574,b,227,0.76
711,HD 86081,b,2.1375,0.03
712,HD 86226,b,1695,2.84
713,HD 86264,b,1475,2.86
714,HD 8673,b,1634,3.02
715,HD 86950,b,1270,2.72
716,HD 87646,b,13.481,0.117
717,HD 87883,b,2754,3.58
718,HD 88133,b,3.41587,0.05
719,HD 89307,b,2166,3.27
720,HD 89345,b,11.81399,0.105
721,HD 89744,b,256.78,0.918
722,HD 90156,b,49.77,0.25
723,HD 9174,b,1179,2.2
724,HD 92788,b,325.81,0.95
725,HD 93083,b,143.58,0.477
726,HD 9446,b,30.052,0.189
727,HD 9446,c,192.9,0.654
729,HD 95089,b,507,1.51
730,HD 95127,b,482,1.28
731,HD 95872,b,4375,5.15
732,HD 96063,b,361.1,0.99
733,HD 96127,b,647.29999,1.42
734,HD 96167,b,498.89999,1.35
736,HD 98219,b,436.89999,1.32
737,HD 98649,b,4951,5.6
738,HD 99109,b,439.29999,1.11
739,HD 99492,b,17.0431,0.12
740,HD 99706,b,868,2.13
741,HIP 105854,b,184.2,0.81
742,HIP 107773,b,144.3,0.72
743,HIP 109384,b,499.48,1.134
744,HIP 109600,b,232.08,0.706
746,HIP 12961,b,57.435,0.25
747,HIP 14810,b,6.67386,0.07
748,HIP 14810,c,147.73,0.545
749,HIP 14810,d,952,1.89
755,HIP 5158,b,345.72,0.89
756,HIP 5158,c,9017.76,7.7
757,HIP 57274,b,8.1352,0.07
758,HIP 57274,c,32.03,0.178
759,HIP 57274,d,431.7,1.01
760,HIP 63242,b,124.6,0.565
761,HIP 65407,b,28.125,0.177
762,HIP 65407,c,67.3,0.316
764,HIP 65891,b,1084.5,2.81
765,HIP 67537,b,2556.5,4.91
766,HIP 67851,b,88.9,0.46
767,HIP 67851,c,2131.8,3.82
768,HIP 70849,b,17337.5,20.25
769,HIP 74890,b,822.3,2.1
770,HIP 75458,b,511.098,1.275
772,HIP 79431,b,111.7,0.36
773,HIP 8541,b,1560.2,2.8
774,HIP 91258,b,5.0505,0.06
775,HIP 97233,b,1058.8,2.55
778,HR 810,b,302.79999,0.92
779,HR 8799,b,170000,68
780,HR 8799,c,69000,38
781,HR 8799,d,37000,24
782,HR 8799,e,18000,14.5
787,K2-104,b,1.974238,0.023
788,K2-105,b,8.266902,0.081
789,K2-107,b,3.31392,0.048
790,K2-108,b,4.73401,0.0573
791,K2-11,b,39.93767,0.2257
792,K2-110,b,13.86375,0.1021
793,K2-111,b,5.35117,0.0621
794,K2-113,b,5.817608,0.0558
795,K2-114,b,11.39109,0.09309
796,K2-115,b,20.273034,0.1367
797,K2-116,b,4.655411,0.048
798,K2-117,b,1.291505,0.019
799,K2-117,c,5.44482,0.051
800,K2-118,b,50.92092,0.245
801,K2-119,b,7.728578,0.07
802,K2-12,b,8.28212,0.0802
803,K2-120,b,9.562742,0.078
804,K2-121,b,5.185754,0.052
805,K2-122,b,2.219405,0.029
806,K2-123,b,30.956763,0.167
807,K2-124,b,6.413539,0.051
808,K2-125,b,21.750264,0.121
809,K2-126,b,7.387073,0.066
810,K2-127,b,3.588165,0.041
811,K2-128,b,5.675819,0.056
812,K2-129,b,8.239493,0.057
813,K2-13,b,39.91488,0.2114
814,K2-130,b,2.49412,0.032
817,K2-133,b,3.0712,0.033
818,K2-133,c,4.8682,0.045
819,K2-133,d,11.0234,0.077
823,K2-137,b,0.179715,0.0058
824,K2-138,b,2.35322,0.0338
825,K2-138,c,3.55987,0.04454
826,K2-138,d,5.40478,0.05883
827,K2-138,e,8.26144,0.07807
828,K2-138,f,12.75759,0.1043
829,K2-139,b,28.38236,0.179
830,K2-14,b,8.36802,0.0627
831,K2-140,b,6.5693,0.0591
834,K2-146,b,2.644646,0.0266
835,K2-147,b,0.961917,0.0159
836,K2-148,b,4.38395,0.0454
837,K2-148,c,6.9226,0.0616
838,K2-148,d,9.7579,0.0774
839,K2-149,b,11.332,0.083
840,K2-15,b,11.8104,0.091
841,K2-150,b,10.59357,0.0727
842,K2-151,b,3.835592,0.0365
843,K2-152,b,32.6527,0.1735
844,K2-153,b,7.51554,0.0601
845,K2-154,b,3.67635,0.0408
846,K2-154,c,7.95478,0.0683
847,K2-155,b,6.342,0.0562
848,K2-155,c,13.85,0.0946
849,K2-155,d,40.718,0.1937
854,K2-16,b,7.6188,0.0667
855,K2-16,c,19.07863,0.1229
868,K2-17,b,17.96753,0.119
881,K2-18,b,32.93963,0.143
882,K2-18,c,8.962,0.06
900,K2-19,b,7.9194,0.074
901,K2-19,c,11.90715,0.0971
902,K2-19,d,2.50856,0.0344
927,K2-21,b,9.325038,0.076
928,K2-21,c,15.50192,0.107
941,K2-22,b,0.381078,0.0088
952,K2-229,b,0.584249,0.012888
953,K2-229,c,8.32834,0.07577
956,K2-232,b,11.168454,0.10356
957,K2-233,b,2.46746,0.03317
958,K2-233,c,7.06142,0.06687
959,K2-233,d,24.3662,0.1527
960,K2-24,b,20.88508,0.1542
961,K2-24,c,42.36342,0.2471
963,K2-26,b,14.5665,0.0962
964,K2-27,b,6.771315,0.06702
965,K2-28,b,2.260455,0.0214
966,K2-29,b,3.2588321,0.04217
967,K2-3,b,10.05449,0.0769
968,K2-3,c,24.64354,0.1399
969,K2-3,d,44.55983,0.2076
970,K2-30,b,4.098503,0.04839
971,K2-31,b,1.25785,0.022
972,K2-32,b,8.99213,0.08036
973,K2-32,c,20.6602,0.1399
974,K2-32,d,31.7154,0.1862
977,K2-35,b,5.608352,0.055
978,K2-35,c,2.399964,0.031
979,K2-36,b,1.42266,0.023
980,K2-36,c,5.34059,0.0555
981,K2-37,b,4.44117,0.0511
982,K2-37,c,6.42904,0.0654
983,K2-37,d,14.09189,0.1103
985,K2-38,c,10.56103,0.0964
987,K2-4,b,10.003417,0.078
988,K2-42,b,6.68796,0.0617
989,K2-43,b,3.471341,0.038
990,K2-44,b,5.65688,0.0651
991,K2-45,b,1.7292684,0.0224
992,K2-46,b,19.1541,0.13821
993,K2-47,b,31.6372,0.1779
994,K2-48,b,20.5065,0.1344
995,K2-49,b,2.77065,0.0309
996,K2-5,b,5.73594,0.0532
997,K2-5,c,10.93241,0.0818
998,K2-50,b,8.7529,0.0705
999,K2-52,b,3.53482,0.0485
1000,K2-53,b,12.2054,0.0975
1001,K2-54,b,9.7843,0.0671
1002,K2-55,b,2.849258,0.03486
1003,K2-57,b,9.0063,0.0746
1004,K2-58,b,7.05254,0.0692
1005,K2-58,c,2.53726,0.035
1006,K2-58,d,22.8827,0.1517
1007,K2-59,b,20.6921,0.1354
1008,K2-59,c,11.2954,0.0905
1009,K2-6,b,30.94191,0.1898
1010,K2-60,b,3.00265,0.045
1011,K2-61,b,2.57302,0.0392
1012,K2-62,b,6.67202,0.0636
1013,K2-62,c,16.1966,0.1148
1014,K2-63,b,20.257,0.1627
1015,K2-64,b,6.53044,0.0619
1016,K2-65,b,12.6475,0.1014
1017,K2-66,b,5.06963,0.05983
1018,K2-68,b,8.05428,0.0708
1019,K2-69,b,7.06599,0.0591
1020,K2-7,b,28.67992,0.1814
1021,K2-70,b,13.97896,0.1112
1022,K2-71,b,6.98541,0.0559
1023,K2-72,b,5.577212,0.04
1024,K2-72,c,15.189034,0.078
1025,K2-72,d,7.760178,0.05
1026,K2-72,e,24.158868,0.106
1027,K2-73,b,7.49543,0.07619
1028,K2-74,b,19.5666,0.1402
1029,K2-75,b,7.8142,0.081
1030,K2-75,c,18.311,0.1429
1032,K2-79,b,10.99573,0.0987
1033,K2-8,b,10.35239,0.0856
1034,K2-8,c,5.06416,0.0532
1036,K2-80,b,19.0918,0.135
1037,K2-80,c,5.605,0.0596
1038,K2-81,b,6.102325,0.059
1039,K2-83,b,2.74697,0.03014
1040,K2-83,c,9.99767,0.07131
1041,K2-84,b,6.4215,0.0665
1042,K2-84,c,27.86,0.1768
1043,K2-85,b,0.684533,0.01263
1044,K2-86,b,8.77683,0.077
1045,K2-87,b,9.72739,0.0876
1046,K2-88,b,4.6122,0.0345
1047,K2-89,b,1.096026,0.01462
1048,K2-9,b,18.4498,0.091
1049,K2-90,b,13.734907,0.1
1050,K2-90,c,2.900706,0.035
1051,K2-91,b,1.419549,0.0164
1052,K2-95,b,10.13389,0.0653
1054,K2-98,b,10.13675,0.0943
1055,K2-99,b,18.249,0.159
1056,KELT-1,b,1.217514,0.02466
1057,KELT-10,b,4.1662739,0.0525
1058,KELT-11,b,4.736529,0.06229
1059,KELT-12,b,5.031623,0.06708
1060,KELT-14,b,1.7100566,0.03005
1062,KELT-16,b,0.9689951,0.02044
1063,KELT-17,b,3.0801716,0.04881
1064,KELT-18,b,2.8717518,0.0455
1065,KELT-19 A,b,4.6117093,0.0637
1067,KELT-20,b,3.4741085,0.0542
1068,KELT-21,b,3.6127647,0.05224
1070,KELT-4 A,b,2.9895932,0.04317
1072,KELT-6,c,1276,2.39
1075,KELT-9,b,1.4811235,0.03462
1088,KOI-1257,b,86.647661,0.382
1089,KOI-13,b,1.763588,0.03641
1091,KOI-142,c,22.3395,0.15525
1092,KOI-217,b,3.90512,0.0477
1093,KOI-351,b,7.008151,0.074
1094,KOI-351,c,8.719375,0.089
1095,KOI-351,d,59.73667,0.32
1096,KOI-351,e,91.93913,0.42
1097,KOI-351,f,124.9144,0.48
1098,KOI-351,g,210.60697,0.71
1099,KOI-351,h,331.60059,1.01
1101,KOI-55,b,0.240104,0.006
1102,KOI-55,c,0.342887,0.0076
1103,KOI-94,b,3.743208,0.05119
1104,KOI-94,c,10.423648,0.1013
1105,KOI-94,d,22.342989,0.1684
1106,KOI-94,e,54.32031,0.3046
1107,KPS-1,b,1.706291,0.0269
1108,Kapteyn,c,121.54,0.311
1109,Kepler-10,b,0.837491,0.0172
1124,Kepler-101,b,3.4876812,0.0474
1125,Kepler-101,c,6.02976,0.0684
1164,Kepler-104,b,11.427548,0.094
1165,Kepler-104,c,23.668205,0.153
1166,Kepler-104,d,51.755394,0.257
1178,Kepler-105,b,5.4122,0.066
1206,Kepler-107,b,3.179997,0.044
1207,Kepler-107,c,4.901425,0.059
1208,Kepler-107,d,7.958203,0.082
1209,Kepler-107,e,14.749049,0.123
1221,Kepler-108,b,49.183921,0.292
1222,Kepler-108,c,190.323494,0.721
1247,Kepler-11,b,10.3039,0.091
1248,Kepler-11,c,13.0241,0.107
1249,Kepler-11,d,22.6845,0.155
1250,Kepler-11,e,31.9996,0.195
1251,Kepler-11,f,46.6888,0.25
1252,Kepler-11,g,118.3807,0.466
1253,Kepler-110,b,12.691112,0.107
1254,Kepler-110,c,31.719775,0.198
1265,Kepler-111,b,3.341815,0.046
1266,Kepler-111,c,224.784608,0.761
1277,Kepler-112,b,8.408878,0.076
1278,Kepler-112,c,28.574263,0.172
1302,Kepler-114,b,5.188549,0.053
1316,Kepler-115,b,2.403679,0.036
1317,Kepler-115,c,8.990889,0.087
1329,Kepler-116,b,5.968734,0.069
1330,Kepler-116,c,13.07163,0.116
1341,Kepler-117,b,18.7959228,0.1445
1342,Kepler-117,c,50.790391,0.2804
1353,Kepler-118,b,7.518496,0.073
1354,Kepler-118,c,20.17202,0.141
1365,Kepler-119,b,2.422082,0.035
1366,Kepler-119,c,4.125103,0.049
1377,Kepler-12,b,4.4379629,0.0553
1378,Kepler-120,b,6.312501,0.055
1379,Kepler-120,c,12.794585,0.088
1390,Kepler-121,b,3.177422,0.039
1391,Kepler-121,c,41.008011,0.216
1402,Kepler-122,b,5.766193,0.064
1403,Kepler-122,c,12.465988,0.108
1404,Kepler-122,d,21.587475,0.155
1405,Kepler-122,e,37.993273,0.227
1417,Kepler-123,b,17.232366,0.135
1418,Kepler-123,c,26.695074,0.181
1429,Kepler-124,b,3.410493,0.039
1430,Kepler-124,c,13.821375,0.1
1431,Kepler-124,d,30.950851,0.17
1443,Kepler-125,b,4.164389,0.041
1444,Kepler-125,c,5.774464,0.051
1457,Kepler-126,b,10.495711,0.099
1458,Kepler-126,c,21.869741,0.162
1459,Kepler-126,d,100.283134,0.448
1470,Kepler-127,b,14.435889,0.125
1471,Kepler-127,c,29.393195,0.2
1472,Kepler-127,d,48.630408,0.28
1495,Kepler-129,b,15.79186,0.131
1496,Kepler-129,c,82.20017,0.393
1507,Kepler-130,b,8.457458,0.079
1508,Kepler-130,c,27.50868,0.178
1509,Kepler-130,d,87.517905,0.377
1533,Kepler-132,b,6.178196,0.067
1534,Kepler-132,c,6.414914,0.068
1535,Kepler-132,d,18.010199,0.136
1548,Kepler-133,b,8.129976,0.083
1549,Kepler-133,c,31.517586,0.204
1561,Kepler-134,b,5.317429,0.06
1562,Kepler-134,c,10.105785,0.092
1573,Kepler-135,b,6.00253,0.067
1574,Kepler-135,c,11.448708,0.103
1586,Kepler-136,b,11.5789,0.106
1587,Kepler-136,c,16.399235,0.133
1599,Kepler-137,b,8.436387,0.077
1600,Kepler-137,c,18.735753,0.13
1629,Kepler-139,b,15.771044,0.127
1630,Kepler-139,c,157.072878,0.586
1643,Kepler-140,b,3.25427,0.045
1644,Kepler-140,c,91.353282,0.414
1655,Kepler-141,b,3.107675,0.039
1656,Kepler-141,c,7.010606,0.067
1667,Kepler-142,b,2.024152,0.032
1668,Kepler-142,c,4.761702,0.057
1669,Kepler-142,d,41.809118,0.242
1680,Kepler-143,b,16.007583,0.127
1681,Kepler-143,c,27.082511,0.181
1692,Kepler-144,b,5.885273,0.066
1693,Kepler-144,c,10.104665,0.094
1716,Kepler-146,b,31.158799,0.2
1717,Kepler-146,c,76.732171,0.364
1730,Kepler-147,b,12.610584,0.113
1731,Kepler-147,c,33.416423,0.216
1742,Kepler-148,b,1.729366,0.028
1743,Kepler-148,c,4.180043,0.05
1755,Kepler-149,b,29.198943,0.184
1756,Kepler-149,c,55.328328,0.281
1757,Kepler-149,d,160.018032,0.571
1768,Kepler-15,b,4.942782,0.05714
1769,Kepler-150,b,3.428054,0.044
1770,Kepler-150,c,7.381998,0.073
1771,Kepler-150,d,12.56093,0.104
1772,Kepler-150,e,30.826557,0.189
1773,Kepler-150,f,637.2093,1.24
1784,Kepler-151,b,15.228958,0.116
1785,Kepler-151,c,24.674612,0.16
1796,Kepler-152,b,18.207973,0.124
1797,Kepler-152,c,88.255055,0.356
1808,Kepler-153,b,18.870227,0.129
1809,Kepler-153,c,46.90232,0.237
1821,Kepler-154,b,33.040532,0.198
1822,Kepler-154,c,62.303276,0.303
1839,Kepler-155,b,5.931194,0.056
1840,Kepler-155,c,52.661793,0.242
1851,Kepler-156,b,4.973456,0.054
1852,Kepler-156,c,15.906801,0.117
1863,Kepler-157,b,1.732342,0.028
1864,Kepler-157,c,13.5405,0.11
1876,Kepler-158,b,16.709184,0.111
1877,Kepler-158,c,28.551383,0.158
1888,Kepler-159,b,10.139623,0.082
1889,Kepler-159,c,43.595792,0.218
1900,Kepler-16,b,228.776,0.7048
1901,Kepler-160,b,4.309427,0.05
1902,Kepler-160,c,13.699087,0.109
1913,Kepler-161,b,4.921355,0.054
1914,Kepler-161,c,7.06424,0.068
1925,Kepler-162,b,6.919798,0.069
1926,Kepler-162,c,19.446355,0.137
1937,Kepler-163,b,7.810937,0.078
1938,Kepler-163,c,21.347262,0.152
1949,Kepler-164,b,5.03503,0.058
1950,Kepler-164,c,10.945723,0.097
1951,Kepler-164,d,28.986769,0.187
1961,Kepler-1647,b,1107.5923,2.7205
1962,Kepler-1649,b,8.68909,0.0514
1963,Kepler-165,b,8.180848,0.072
1964,Kepler-165,c,15.31299,0.11
1967,Kepler-1652,b,38.09722,0.1654
1968,Kepler-1653,b,140.2524,0.4706
1969,Kepler-1654,b,1047.8356,2.026
1970,Kepler-1655,b,11.8728787,0.103
1971,Kepler-166,b,7.650254,0.072
1972,Kepler-166,c,34.260281,0.195
1974,Kepler-167,b,4.3931632,0.0483
1975,Kepler-167,c,7.406114,0.0684
1976,Kepler-167,d,21.803855,0.1405
1977,Kepler-167,e,1071.23228,1.89
1978,Kepler-168,b,4.425391,0.056
1979,Kepler-168,c,13.193242,0.116
1980,Kepler-169,b,3.250619,0.04
1981,Kepler-169,c,6.195469,0.062
1982,Kepler-169,d,8.348125,0.075
1983,Kepler-169,e,13.767102,0.105
1984,Kepler-169,f,87.090195,0.359
1985,Kepler-17,b,1.4857108,0.02591
1986,Kepler-170,b,7.930592,0.08
1987,Kepler-170,c,16.665863,0.131
1988,Kepler-171,b,4.166972,0.05
1989,Kepler-171,c,11.463462,0.098
1990,Kepler-171,d,39.595519,0.223
1991,Kepler-172,b,2.940309,0.04
1992,Kepler-172,c,6.388996,0.068
1993,Kepler-172,d,14.627119,0.118
1994,Kepler-172,e,35.118736,0.211
1995,Kepler-173,b,4.263742,0.048
1996,Kepler-173,c,8.005777,0.074
1997,Kepler-174,b,13.98179,0.1
1998,Kepler-174,c,44.000529,0.214
1999,Kepler-174,d,247.35373,0.677
2000,Kepler-175,b,11.903515,0.105
2001,Kepler-175,c,34.035257,0.213
2002,Kepler-176,b,5.433074,0.058
2003,Kepler-176,c,12.759712,0.102
2004,Kepler-176,d,25.751974,0.163
2008,Kepler-178,b,9.576694,0.085
2009,Kepler-178,c,20.552802,0.142
2010,Kepler-178,d,96.678988,0.397
2011,Kepler-179,b,2.735926,0.036
2012,Kepler-179,c,6.40013,0.064
2013,Kepler-18,b,3.504725,0.0447
2014,Kepler-18,c,7.64159,0.0752
2015,Kepler-18,d,14.85888,0.1172
2016,Kepler-180,b,13.817124,0.109
2017,Kepler-180,c,41.885775,0.229
2018,Kepler-181,b,3.137873,0.04
2019,Kepler-181,c,4.302149,0.049
2020,Kepler-182,b,9.825792,0.096
2021,Kepler-182,c,20.684342,0.157
2022,Kepler-183,b,5.687945,0.064
2023,Kepler-183,c,11.637071,0.103
2024,Kepler-184,b,10.687576,0.092
2025,Kepler-184,c,20.303005,0.141
2026,Kepler-184,d,29.022358,0.179
2027,Kepler-185,b,1.6329,0.026
2028,Kepler-185,c,20.729042,0.139
2029,Kepler-186,b,3.8867907,0.0343
2030,Kepler-186,c,7.267302,0.0451
2031,Kepler-186,d,13.342996,0.0781
2032,Kepler-186,e,22.407704,0.11
2033,Kepler-186,f,129.9441,0.432
2034,Kepler-187,b,4.938864,0.059
2035,Kepler-187,c,10.640263,0.099
2036,Kepler-188,b,2.061897,0.032
2037,Kepler-188,c,5.996553,0.066
2038,Kepler-189,b,10.399931,0.088
2039,Kepler-189,c,20.134866,0.137
2043,Kepler-190,b,2.019999,0.03
2044,Kepler-190,c,3.763024,0.045
2045,Kepler-191,b,9.939632,0.087
2046,Kepler-191,c,17.738506,0.128
2048,Kepler-192,b,9.926746,0.09
2049,Kepler-192,c,21.2234,0.15
2051,Kepler-193,b,11.38848,0.106
2052,Kepler-193,c,50.697494,0.286
2053,Kepler-194,b,2.092281,0.032
2054,Kepler-194,c,17.308032,0.131
2055,Kepler-194,d,52.814973,0.275
2056,Kepler-195,b,8.307872,0.077
2057,Kepler-195,c,34.096863,0.197
2058,Kepler-196,b,20.739886,0.138
2059,Kepler-196,c,47.427737,0.24
2060,Kepler-197,b,5.599308,0.06
2061,Kepler-197,c,10.349695,0.09
2062,Kepler-197,d,15.677563,0.119
2063,Kepler-197,e,25.209715,0.164
2064,Kepler-198,b,17.790037,0.131
2065,Kepler-198,c,49.567416,0.259
2067,Kepler-199,b,23.637604,0.158
2068,Kepler-199,c,67.093408,0.316
2069,Kepler-20,b,3.69611525,0.0463
2070,Kepler-20,c,10.85409089,0.0949
2071,Kepler-20,d,77.61130017,0.3506
2072,Kepler-20,e,6.09852281,0.0639
2073,Kepler-20,f,19.57758478,0.1396
2074,Kepler-20,g,34.94,0.2055
2075,Kepler-200,b,8.594805,0.08
2076,Kepler-200,c,10.222157,0.09
2077,Kepler-201,b,25.672083,0.175
2078,Kepler-201,c,151.884058,0.573
2079,Kepler-202,b,4.069427,0.045
2080,Kepler-202,c,16.282493,0.113
2081,Kepler-203,b,3.162697,0.043
2082,Kepler-203,c,5.370647,0.061
2083,Kepler-203,d,11.32972,0.1
2084,Kepler-204,b,14.400974,0.117
2085,Kepler-204,c,25.660593,0.173
2086,Kepler-205,b,2.75564,0.032
2087,Kepler-205,c,20.306546,0.122
2088,Kepler-206,b,7.781987,0.078
2089,Kepler-206,c,13.137471,0.111
2090,Kepler-206,d,23.44281,0.163
2091,Kepler-207,b,1.611865,0.029
2092,Kepler-207,c,3.071571,0.044
