loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbsmax
3597,WASP-2,b,2.152226,0.03138
3598,WASP-20,b,4.8996284,0.06
3599,WASP-21,b,4.322482,0.052
3601,WASP-23,b,2.9444256,0.0376
3605,WASP-28,b,3.40883,0.04469
3608,WASP-31,b,3.4059096,0.04659
3613,WASP-36,b,1.53736596,0.02677
3614,WASP-37,b,3.577469,0.0446
3616,WASP-39,b,4.055259,0.0486
3619,WASP-41,c,421,1.07
3620,WASP-42,b,4.9816819,0.0561
3621,WASP-43,b,0.813475,0.0142
3622,WASP-44,b,2.4238039,0.03473
3624,WASP-46,b,1.43036763,0.02335
3625,WASP-47,b,4.16071,0.052
3626,WASP-47,c,580.7,1.41
3627,WASP-47,d,9.095,0.088
3628,WASP-47,e,0.789636,0.0173
3631,WASP-5,b,1.6284279,0.0267
3633,WASP-52,b,1.7497798,0.0272
3634,WASP-53,b,3.3098443,0.04101
3635,WASP-53,c,2840,3.73
3639,WASP-57,b,2.83891856,0.03769
3641,WASP-59,b,7.919585,0.0697
3647,WASP-64,b,1.5732918,0.02648
3648,WASP-65,b,2.3114243,0.0334
3653,WASP-7,b,4.9546416,0.0617
3654,WASP-70 A,b,3.7130203,0.04853
3659,WASP-75,b,2.484193,0.0375
3660,WASP-76,b,1.809886,0.033
3665,WASP-8,c,4323,5.28
3666,WASP-80,b,3.06785234,0.0344
3667,WASP-81,b,2.7164762,0.03908
3669,WASP-83,b,4.971252,0.059
3670,WASP-84,b,8.5234865,0.0771
3671,WASP-85 A,b,2.6556777,0.039
3673,WASP-89,b,3.3564227,0.0427
3674,WASP-90,b,3.916243,0.0562
3675,WASP-91,b,2.798581,0.037
3676,WASP-92,b,2.1746742,0.0348
3677,WASP-93,b,2.7325321,0.04211
3679,WASP-94 B,b,2.00839,0.0335
3681,WASP-96,b,3.4252602,0.0453
3683,WASP-98,b,2.96264036,0.03762
3687,WTS-1,b,3.352057,0.047
3688,WTS-2,b,1.0187068,0.01855
3689,Wolf 1061,b,4.8869,0.0375
3690,Wolf 1061,c,17.8719,0.089
3691,Wolf 1061,d,217.21,0.47
3693,XO-2 N,b,2.61585922,0.03673
3694,XO-2 S,b,18.157,0.13
3695,XO-2 S,c,120.8,0.4756
3698,XO-5,b,4.1877558,0.0515
3699,XO-6,b,3.7650007,0.0815
3700,YZ Cet,b,1.96876,0.01557
3701,YZ Cet,c,3.06008,0.0209
3702,YZ Cet,d,4.65627,0.02764
3703,alf Ari,b,380.8,1.2
3704,alf Tau,b,628.96,1.46
3705,bet Cnc,b,605.2,1.7
3706,bet Pic,b,7665,9.1
3707,bet UMi,b,522.3,1.4
3708,eps CrB,b,417.9,1.3
3709,eps Eri,b,2502,3.39
3710,eps Tau,b,594.9,1.93
3711,gam 1 Leo,b,428.5,1.19
3712,gam Cep,b,903.3,2.05
3713,gam Lib,b,415.2,1.24
3714,gam Lib,c,964.6,2.17
3716,kap CrB,b,1261.94,2.8
3717,mu Leo,b,357.8,1.1
3718,nu Oph,b,530.32,1.9
3719,nu Oph,c,3186,6.1
3720,ome Ser,b,277.02,1.1
3721,omi CrB,b,187.83,0.83
3722,omi UMa,b,1630,3.9
3723,psi 1 Dra B,b,3117,4.43
3724,rho CrB,b,39.8458,0.2196
3725,rho CrB,c,102.54,0.4123
3726,tau Boo,b,3.3124568,0.049
3727,tau Cet,e,162.87,0.538
3728,tau Cet,f,636.13,1.334
3729,tau Cet,g,20,0.133
3730,tau Cet,h,49.41,0.243
3731,tau Gem,b,305.5,1.17
3732,ups And,b,4.617033,0.059222
3733,ups And,c,241.258,0.827774
3734,ups And,d,1276.46,2.51329
3735,xi Aql,b,136.75,0.68
