loc_rowid,pl_hostname,pl_letter,pl_orbper,pl_orbeccen
209,HAT-P-46,b,4.463129,0.123
210,HAT-P-49,b,2.69155,0
211,HAT-P-5,b,2.78849,0
212,HAT-P-50,b,3.1220109,0.115
213,HAT-P-51,b,4.2180278,0.123
214,HAT-P-52,b,2.7535953,0.047
215,HAT-P-53,b,1.9616241,0.134
216,HAT-P-54,b,3.799847,0.074
217,HAT-P-55,b,3.5852467,0.139
219,HAT-P-57,b,2.4653,0
220,HAT-P-6,b,3.85298,0
221,HAT-P-65,b,2.6054552,0.304
222,HAT-P-66,b,2.972086,0.09
223,HAT-P-67,b,4.8101025,0
224,HAT-P-7,b,2.20474,0
225,HAT-P-8,b,3.07634,0
226,HAT-P-9,b,3.92289,0
227,HATS-1,b,3.446459,0.12
228,HATS-10,b,3.312846,0.501
231,HATS-13,b,3.0440499,0.181
232,HATS-14,b,2.7667641,0.142
233,HATS-15,b,1.74748753,0.126
234,HATS-16,b,2.686502,0
235,HATS-17,b,16.254611,0.029
236,HATS-18,b,0.8378434,0.166
237,HATS-2,b,1.354133,0
238,HATS-22,b,4.7228124,0.079
239,HATS-23,b,2.1605156,0.114
240,HATS-24,b,1.3484954,0.242
241,HATS-25,b,4.2986432,0.176
242,HATS-26,b,3.3023881,0.245
243,HATS-27,b,4.637038,0.581
244,HATS-28,b,3.1810781,0.202
245,HATS-29,b,4.6058749,0.158
246,HATS-3,b,3.54785,0
247,HATS-30,b,3.1743516,0.096
248,HATS-31,b,3.37796,0.233
249,HATS-32,b,2.8126548,0.471
250,HATS-33,b,2.5495551,0.08
251,HATS-34,b,2.1061607,0.108
252,HATS-35,b,1.8209993,0.306
253,HATS-36,b,4.1752387,0.105
254,HATS-39,b,4.5776348,0.275
255,HATS-4,b,2.516729,0.013
256,HATS-40,b,3.2642736,0.312
257,HATS-41,b,4.193649,0.38
258,HATS-42,b,2.292102,0.229
259,HATS-43,b,4.3888497,0.173
260,HATS-44,b,2.7439004,0.279
261,HATS-45,b,4.1876244,0.24
262,HATS-46,b,4.7423729,0.559
263,HATS-5,b,4.763387,0.019
264,HATS-50,b,3.8297015,0.516
265,HATS-51,b,3.3488702,0.33
266,HATS-52,b,1.36665436,0.246
267,HATS-53,b,3.8537768,0.33
268,HATS-6,b,3.3252725,0
269,HATS-7,b,3.185315,0.17
270,HATS-8,b,3.583893,0.376
273,HD 100655,b,157.57001,0.09
274,HD 100777,b,383.70001,0.36
275,HD 10180,c,5.75969,0.073
276,HD 10180,d,16.357,0.131
277,HD 10180,e,49.748,0.051
278,HD 10180,f,122.744,0.119
279,HD 10180,g,604.67,0.263
280,HD 10180,h,2205,0.095
281,HD 101930,b,70.46,0.11
282,HD 102117,b,20.8133,0.12
283,HD 102195,b,4.11377,0
284,HD 102272,b,127.58,0.05
285,HD 102329,b,778.09998,0.21
286,HD 102365,b,122.1,0.34
287,HD 102956,b,6.4948,0.05
288,HD 103197,b,47.84,0
289,HD 103720,b,4.5557,0.086
290,HD 103774,b,5.8881,0.09
291,HD 104067,b,55.806,0
292,HD 10442,b,1043,0.11
293,HD 104985,b,199.505,0.09
294,HD 106252,b,1531,0.48
295,HD 106270,b,2890,0.402
296,HD 106315,b,9.55385,0.31
297,HD 106315,c,21.058,0.18
298,HD 10647,b,989.2,0.15
299,HD 106515 A,b,3630,0.572
301,HD 10697,b,1075.2,0.099
302,HD 107148,b,48.056,0.05
303,HD 108147,b,10.8985,0.53
304,HD 108341,b,1129,0.85
305,HD 108863,b,443.39999,0
306,HD 108874,b,394.48123,0.13
307,HD 108874,c,1624,0.239
308,HD 109246,b,68.27,0.12
309,HD 109271,b,7.8543,0.25
310,HD 109271,c,30.93,0.15
311,HD 109749,b,5.24,0
312,HD 110014,b,835.477,0.462
313,HD 111232,b,1143,0.2
314,HD 111591,b,1056.4,0.26
315,HD 111998,b,825.9,0.03
316,HD 113337,b,324,0.46
317,HD 113538,b,663.2,0.14
318,HD 113538,c,1818,0.2
319,HD 113996,b,610.2,0.28
320,HD 114386,b,937.70001,0.23
321,HD 114613,b,3827,0.25
322,HD 114729,b,1114,0.17
323,HD 114762,b,83.9151,0.34
324,HD 114783,b,493.7,0.144
325,HD 11506,b,1405,0.3
326,HD 11506,c,223.6,0.24
327,HD 116029,b,670,0
328,HD 117207,b,2597,0.14
329,HD 11755,b,433.70001,0.19
330,HD 117618,b,25.827,0.42
331,HD 118203,b,6.1335,0.31
332,HD 11964,b,1945,0.041
333,HD 11964,c,37.91,0.3
334,HD 11977,b,711,0.4
335,HD 120084,b,2082,0.66
336,HD 121504,b,63.33,0.03
