loc_rowid,pl_hostname,pl_letter,pl_bmassj,pl_radj
3671,WASP-85 A,b,1.265,1.24
3672,WASP-88,b,0.42,1.46
3673,WASP-89,b,5.9,1.04
3674,WASP-90,b,0.63,1.63
3675,WASP-91,b,1.34,1.03
3676,WASP-92,b,0.805,1.461
3677,WASP-93,b,1.47,1.597
3678,WASP-94 A,b,0.5,1.58
3680,WASP-95,b,1.44,1.23
3681,WASP-96,b,0.48,1.2
3682,WASP-97,b,1.36,1.14
3683,WASP-98,b,0.922,1.144
3684,WASP-99,b,2.43,1.02
3686,WISEP J121756.91+162640.2 A,b,22,0.934
3687,WTS-1,b,4.01,1.49
3688,WTS-2,b,1.12,1.363
3692,XO-1,b,0.83,1.14
3693,XO-2 N,b,0.597,1.019
3696,XO-3,b,7.29,1.41
3697,XO-4,b,1.42,1.25
3698,XO-5,b,1.19,1.14
3699,XO-6,b,4.4,2.07
